"Comment","Sentiment"
"Sorry once again for the wrong report  Stephane","Negative"
"This was very bad documented.","Negative"
"Maurice I don't have such option or maybe I don't know where it is.","Negative"
"If so  a test that succeeds with errors is confusing as hell...","Negative"
"Hi [~wikimore]  [~michaelstockton]  or any other Ruby user: I'd really like to commit that  but I need someone of you to review and confirm before. So if you want this being part of the next release .... thank you!  ","Positive"
"ah - my bad.","Negative"
"v2 Looks good to me.","Positive"
"Awesome discussion.","Positive"
"WOW....you are right...I'm deeply sorry to bother you guys (and I'm also a bit embarrassed).","Negative"
"We can get average column size from row size / column count  so we could make it ""If column size > N bytes or sstable is older than gc_grace_period.""","Neutral"
"Thanks Oliver.","Positive"
"I meant the findbugs addon. Sorry for the confusion.","Negative"
"My bad!","Negative"
"I have attached a patch that provides the necessary translations.","Neutral"
"That sounds good. New patch uploaded.","Positive"
"Hudson is stuck.","Negative"
"Patch applied. Thanks Matt!","Positive"
"Somehow it seems that this problem is more on the rubygems side. I didn't have time to investigate it any further  but looks like rubygems is using @gems internally sometimes as a hash and sometimes as an array.  You could try doing the following change in rubygems/source_index.rb (line 410):  410c410 <       @gems.replace(new_index.gems) --- >       @gems = Hash[*new_index.flatten]","Neutral"
"Damn it !","Negative"
"Committed. Thanks Hitesh!","Positive"
"Sorry it took so long to drag this up.  I think the issue I had was with the Customer => BillingInfo and Customer => ShippingInfo relationships.  BillingInfo and ShippingInfo each inherit from Address.  IIRC  a runtime relationship was being created for Customer => Address  which was messing things up.  I'll have to dig through the SVN history to see what I did with mandatory relationships that I mentioned being problematic in the initial bug submission.","Negative"
"I am currently trying to get it into AJDT dev builds but my git push is timing out (damn thing!","Negative"
"Also  your username was stupidly named and confusing  so I deleted it and created a new one more appropriate.","Negative"
"It was looking good for jackrabbit  for modeshape there is one more tweak required","Neutral"
"Sorry  it seems I forgot a few references to 2.0.2 in ./deps/cxf-all I'm attaching a new patch to fix these references.","Negative"
"The biggest problem is that we've had too many committers over the years and we'd have to get all of their permission to change it.","Negative"
"Committed to TRUNK.  Thanks for review Prakash.","Positive"
"User specified directory is not created by agent","Neutral"
"Thanks for the revision  J¸rgen! I think the release notes look good now. I will resolve the issue after a few days, to allow for any feedback on Knut's suggestion. ","Positive"
"I have added <property file=""framework/base/config/cache.properties""/> <echo message=""NOTICE: deleting ${cache.file.store}.db""/> <delete file=""${cache.file.store}.db"" verbose=""true""/>  to the clean task of my local main build.xml.  After some more testing/discussion perhaps I will post it as a patch. ","Neutral"
"Thanks Alex.  It looks like a good path to solve this issue.","Positive"
"Patch looks good to me.","Positive"
"I really like what I am seeing so far.","Positive"
"Need to add the reconciler as part of the keyspace attributes...  just so I don't forget.","Neutral"
"Yes exactly -- sorry to be so unclear.","Negative"
"Tests no longer sleep","Negative"
"Committed. Thanks Ning","Positive"
"I have committed this.  Thanks  Aaron!","Positive"
"Make AMP constants refer to &amp; instead of & and uses the AMP constant instead of ""&amp;""  added additional test case in UrlHelperTest ","Neutral"
"I just noticed your public tweet...  bq. ""@wilhelmbierbaum True. Fuck the Avro C API."" ","Negative"
"Thanks Uwe!","Positive"
"Now why did I not think of that... :) Great idea  I'll move the files to svn!","Positive"
"Thanks  Amar!","Positive"
"1.2.x patch attached","Neutral"
"Patch Commited  closing bug","Neutral"
"Committed revision 698035.  it's just about having an optional ant property for specifying the full path to svnversion ... i've made the Hudson config changes for Lucene-trunk (add -Dsvnversion.exe=/opt/subversion-current/bin/svnversion) and manually kicked off build#594.  If i missed something, re-open and i'll take a look","Neutral"
"I checked out the patch.  It looks good to me.","Positive"
"Just as we did in HBASE-770  need to check our hbaserpc to make sure it has any changes from hadoop included when we move to 0.18 hadoop jars.","Neutral"
"committed  thanks!","Positive"
"which is silly -- bad package encapsulation).","Negative"
"Attaching updated patches. Arun  let me know it this looks good.  Thanks","Positive"
"Hi Nick   Can you please re-create this patch as I can't get the code to compile?  For starters, I can't get the class AttributeImplItem to compile.  Please use the latest trunk when doing so  Thanks.  -- George","Positive"
"Sorry  I didn't look at the package thoroughly enough. I now see that it can be used in the non-RPC cases also. ","Negative"
"Hi   I was going to join in on reporting this problem. I had recently downloaded a build from 10/17/2005 in order to fix a problem I was experiencing with jscookmenu. It was not until today that I ran a test in IE and found inputcalendar didn't work. I had the same JavaScript error: dateFormatSymbols. The calendar worked fine in Firefox.  Today I downloaded MyFaces 1.1.1RC3 and can confirm that this problem no longer seems to exist for me.  Cheers, Kevin ","Neutral"
"App developers never do what they should :)","Negative"
"Hi Atul  that looks good at a first glace.","Positive"
"Thanks to Mathias Werlitz - sorry for the delay.","Negative"
"I just committed this to trunk and branch-2.0. Thanks Xeiguiming!","Positive"
"Sorry about the confusion before","Negative"
"Sorry that I think I missed some discussion in the mailing list. The implementation and test and BreakIterator is attached.","Negative"
"For those of us who don't care about ivy in fact lose something - a easy to build hbase.","Negative"
"Thanks  patch applied. ","Positive"
"Committed to trunk. Thanks Prasad!","Positive"
"Thanks Tom!","Positive"
"@Lars I don't think it would be all that different. I'll take a crack next week (after dealing with the next round of HBASE-6055 stuff).","Neutral"
"Committed a slightly cleaned up version of the patch in revision: 1464605  Thanks for your help Todd.","Positive"
"Awesome. Thanks!","Positive"
"Last try.","Negative"
"The patch is generated against the latest trunk.","Neutral"
"Hi Michael  thank you for your answer. I thought that it would not be so easy to solve this issue. Unfortunately.  I agree with you that the main problem here is that a copy action is missing and I guess AttachStrategy.persist is the right place to add some kind of copy functionality.  I started looking into the source code of the enhanced class from the test. PersistenceCapable declares a public method to copy fields (pcCopyFields(...)). Unfortunately you can't use in AttachStrategy.persist, because the entity to persist has no statemanager at this point (an exception InvalidStateException will be the result).  My suggestion is to modify the class enhancement and remove the StateManager check in pcCopyFields (I don't see the need for this check). Afterwards you can use pcCopyFields in AttachStrategy.persist by adding something like  ... if (manager.getCopyNew()) { int[] fields = new int[meta.getFields().length]; for (int i = 0; i < fields.length; i++) fields[i] = i; newInstance.pcCopyFields(pc, fields); } ...  This solution works for my testcase.  As an alternative you can modify (or add an additional) newInstance to copy the data.  I have no real experience with OpenJPA. Perhaps there is a much better solution. ","Positive"
"# In DataStorage.linkAllBlocks() you commented our the {{toDir.mkdir()}} part. You probably wanted to remove it. # I would avoid all spelling, formatting, commenting, empty line changes, because they will make merging hard. # Don't think introducing {{FINALIZED_DIR_NAME}} in {{MiniDFSCluster}} is a good idea. It is better than what we have now - a plain string {{current}}. {{DataStorage}} is a public class, we should rather add a public static method to it {{getFinalizedDirectoryName()}}. Then ""finalized"" will defined only in one place.","Neutral"
"Hmm ... this is quite bad.","Negative"
"Aside from the job succeeding (it doesn't)  what effect should I be able to measure (in order to see if this is doing anything)?","Negative"
"Thanks for moving so quickly on this guys.","Positive"
"I don't know what just happened.","Negative"
"Sorry looks like we took to long to get to this  the patch no longer applies.  Can you please upmerge to latest?","Negative"
"The appassembler author has rejected a long outstanding bug in this area as ""Won't Fix""  http://jira.codehaus.org/browse/MAPPASM-54  They seem to think that because the script is not internally broken that they shouldn't need to worry about it.  ","Neutral"
"Thanks again to Claudio Tasso","Positive"
"{quote} This wasn't a problem with my patch, right?  That was an issue of the mahout script in trunk itself? {quote}  Yes it was a problem with the script in trunk. I believe this was due to the fact that the job files were on the classpath instead of all of the dependency jars. Adding the job files to the classpath does not add the dependency jars they contain to the classpath as well. So, no you didn't add this, but it should be fixed (and is in the patch)  {quote} What is the -core option for?  I've never used it, how does it work? {quote}  when you're running bin/mahout in the context of a build the -core option is used to tell it to use the build classpath instead of the classpath used for a binary release. This just follows the pattern established (by Doug?) in the hadoop and nutch launch scripts.  {quote} Also added a help message for the 'run' argument. {quote}  near line 72 in bin/mahout: (this is different from the --help question I had)  {code} echo ""  seq2sparse            generate sparse vectors from a sequence file"" echo ""  vectordump            dump vectors from a sequence file"" echo ""  run                   run mahout tasks using the MahoutDriver, see: http://cwiki.apache.org/MAHOUT/mahoutdriver.html"" {code}  {quote} So you already added the ability to load via classpath, right? If we merge that way of thinking with what I'm currently working on (having a configurable ""MAHOUT_CONF_DIR"" which is used for all these props files), we could just have the mahout shell script just add MAHOUT_CONF_DIR to the classpath (the way you already have it adding the hardwired core/src/main/resources directory) and then it would work that way. {quote}  Yep, that should do it, as long as MAHOUT_CONF_DIR appears before src/main/resources, we should be good to go. It should be added outside of the section of the script that determines if -core has been specified on the command-line.  ","Neutral"
"Sun RI sucks  why the hell is saveState() and restoreState() not called with with javax.faces.STATE_SAVING_METHOD = server???","Negative"
"Patch applied. Thanks a lot  especially for the test case. http://svn.apache.org/viewcvs?rev=240459&view=rev http://svn.apache.org/viewcvs?rev=240461&view=rev  The result for 180 and -180 is definitely wrong. There's a bug that needs to be fixed eventually. But since this is low-priority for me, I'm going to leave it for now. I've added a comment to the new test case block-container4a that explains what is wrong. So I think I'll close this issue. It's primarily for the patch, after all, and the bug won't be missed now that there is a check in our test suite. If anyone disagrees, just reopen the issue or create a new one.","Positive"
"Committed to trunk. Thanks Mathias!","Positive"
"[~cmccabe]: oh  hell no!","Negative"
"Megan  Glad to be of service : )","Positive"
"Submitting to Hudson again. It didn't run the first time.","Neutral"
"+1  branch-2 patch looks good to me.  I'll commit this to branch-2 later today to give others a chance to comment.","Positive"
" ----------------------------------------------------------- This is an automatically generated e-mail. To reply, visit: https://reviews.apache.org/r/4054/#review5511 -----------------------------------------------------------    pom.xml <https://reviews.apache.org/r/4054/#comment11930>  So, all proto generated files go to proto/generated?  All into the same package?  Thanks Jimmy.  Also, mind checking out Deveraj's patch?  I'd suggest at least reviewing it to figure if you fellas are using same conventions going all proto.  Good stuff   - Michael   On 2012-02-27 18:54:31, Jimmy Xiang wrote: bq. bq.  ----------------------------------------------------------- bq.  This is an automatically generated e-mail. To reply, visit: bq.  https://reviews.apache.org/r/4054/ bq.  ----------------------------------------------------------- bq. bq.  (Updated 2012-02-27 18:54:31) bq. bq. bq.  Review request for hbase. bq. bq. bq.  Summary bq.  ------- bq. bq.  This is the first draft of the ProtoBuff HRegionProtocol.  The corresponding java vs pb method mapping is attached to the jira: https://issues.apache.org/jira/browse/HBASE-5443 bq. bq.  Please review.  I'd like to move ahead after we get to some agreement. bq. bq. bq.  This addresses bug HBASE-5443. bq.      https://issues.apache.org/jira/browse/HBASE-5443 bq. bq. bq.  Diffs bq.  ----- bq. bq.    pom.xml 066c027 bq.    src/main/proto/HRegionProtocol.proto PRE-CREATION bq.    src/main/proto/hbase.proto PRE-CREATION bq. bq.  Diff: https://reviews.apache.org/r/4054/diff bq. bq. bq.  Testing bq.  ------- bq. bq. bq.  Thanks, bq. bq.  Jimmy bq. bq.  ","Neutral"
"These look just fine -- thanks for your hard work on all these fixes  Dag! If they are technically correct  I say +1 to commit.","Positive"
"sure only ""/"" works. if path="""" that's considered as no path defined.","Neutral"
"Hello   Thanks a lot!  It works.  Lisa ","Positive"
"Thank you!","Positive"
"Mind taking care of this one Doug?  This looks like a 0.92.0ism so needs dnoting so in the book as for 0.92.0.  Thanks.","Positive"
"(back from holidays  so a bit delayed  but) I confirm Andrzej's suggestion -- a plain-text only summarized is ideal for clustering for example.","Negative"
"Also  {noformat} +        NetUtils.getDefaultSocketFactory(conf), +        org.apache.hadoop.ipc.Client.getTimeout(conf), defaultPolicy).getProxy();{noformat} indentation is wrong in the second line","Neutral"
"No sorry.","Negative"
"For quick reference.... autoPagingContent is the usage in question.","Neutral"
"Fix checked in at revision 648768.  Thanks Xu.","Positive"
"Damn time has flown...","Negative"
"sorry.","Negative"
"attached patch puts all MessageDigest creation into util class.","Neutral"
"I've just committed this.  Thanks Arun!","Positive"
"Qianshi is working on the SSL session reuse  but this buggy Bug system does not allow him assign this ticket  sigh","Negative"
"+1 looks good. As for the naming: [JIRA].patch stands for trunk patch, IMO. Any branch designations can be add as qualifiers. Thanks","Positive"
"Yes  actually I take out the hbase part when I commit.","Neutral"
"+1 This looks good.","Positive"
"Reopened for submission to branch-1.2  per [~jlowe].","Neutral"
"Closing as a duplicate of SLING-394","Neutral"
"BTW: This is one reason why I hate this autoboxing shit since Java 5. I would love to have a way to prevent it in code (forbidden checks should detect this somehow). ","Negative"
"Yes 70x indicates something amiss.","Neutral"
"Doh.","Negative"
"5226_20090212.patch: added license headers.","Neutral"
"Modification of patch-2 to introduce a double class to resolve the final ambiguity for [""float"" ""double""] unions.","Neutral"
"guys... this is so stupid...","Negative"
"Seeking back is pretty inefficient in DFS.","Negative"
"And it will break ugly  everything seems to work  but data is never streamed to cassandra.","Negative"
"[~anchela]  which improvements do you have in mind?","Neutral"
"+1 the patch looks good.","Positive"
"Thank you  + Harit Himanshu   ","Positive"
"I screwed up the encoding of the stopwords file (sorry).","Negative"
"I have committed the patch to trunk  branch-2  and branch-2.0.4-alpha. Thanks you Jagane!","Positive"
"What the hell are you waiting for ?","Negative"
"Sorry  I'd accidentally deleted the --disable-eventfd from my compilation script.","Negative"
"Thanks Areek  patch looks good!","Positive"
"sorry :)","Negative"
"Sorry  in rushing to commit I forgot to add author during the commit.","Negative"
"Integrated to trunk.  Thanks for the patch Francis. Do you want to address Ram's comment about 0.94 patch ?  Thanks for the review, Andy and Ram.","Positive"
"Great  thanks for fixing the OSGi import. I'll create a new issue for the failing trunk build  with more info... https://issues.apache.org/jira/browse/SLING-2770","Positive"
"I committed this.  Thanks  Raymie!","Positive"
"Apllied at revision: 545149  thanks! ","Positive"
"Sorry  this should be YARN JIRA - filed YARN-350 instead","Negative"
"Now with try/catch and debug level log output.  {noformat} 2011-10-23 16:10:49,699 INFO  bsp.YARNBSPJob (YARNBSPJob.java:waitForCompletion(275)) - Job succeeded! {noformat}","Neutral"
"Hi Ivan   {quote} + long numberOfEntriesToReplicate = lastEntryId - firstEntryId; should be (lastEntryId - firstEntryId) + 1 {quote} You are right, both side entries has to be considered. Thank a lot for noticing it.  {quote} In general, I think this splitting should be in LedgerFragmentReplicator, rather than BookKeeperAdmin. This way you could avoid the need to expose the update of ledger metadata. It will make control flow a little more complex as you'll have to initiate replication on the next subfragment from the callback of the current, but i think it would encapsulate things a bit better. {quote} Yes, in general, all the split logic should be in LFR. I might pushed that code to BKAdmin because, I don't want to disturb admin key flow much, which will go through LFR. Now anyway, I moved that logic, still not disturbing BKAdmin key flows in anyway.  Attached a patch, which addresses the comments.  Also to give more confidence on split fragment scenarios, I have added multiple boundary cases for FragmentSplit.  Thanks a lot, Ivan for your nice reviews!  ","Positive"
"bq.It handles both meta is not assigned  and it is double assigned. Yes ","Neutral"
"Duplicate of MYFACES-2970","Neutral"
"Committed revision 1070501.","Neutral"
"Thanks  did that. Hopefully it syncs now. Cheers --Kurt","Positive"
"Direct link to mail item didn't work.","Neutral"
"Sorry  my bad. Let me upload what I have.","Negative"
"Some file were missing in the last patch  sorry.","Negative"
"Sorry  probably a misunderstanding from my side....","Negative"
"Committed revision 728746.  Thanks Shai!","Positive"
"Shit  there is an dependency. Please go to Preferences -> LDAP -> Entry Editor and enable the option ""Show operational attributes"".","Negative"
"Sorry for the huge delay Fabio.","Negative"
"Applied patch with thanks to Chris.","Positive"
"Looks good  thanks!","Positive"
"Ha sorry Varun  thanks for the reminder  I will have a look at it soon...","Negative"
"Thanks for raising these documentation issues! I just committed a fix.","Positive"
"Adrian   thanks for the patch: rev.","Positive"
"Looks like the 0.95 issues are timeout related...should be good to go.","Positive"
"-1 to jar hell.","Negative"
"I did not have time to do it yesterday.","Negative"
"fixed. Committed revision 797662.","Neutral"
"it's my bad.","Negative"
"dist dirs created also. ","Neutral"
"Committed revision 1142583.  I also plan to backport the fix to the 10.8 branch.","Neutral"
"Yes  bytes + comparator would work fine for jaql.  Preferably  it would be the same comparators that are already used by the sort code  which work on serialized bytes (but also on WritableComparables  so that might be a problem).  If these comparators are inconsistent  then the sort in map/reduce will not work properly.  I think it is ok to document the transitivity requirement  but I don't see how you can enforce it in any way.  Different key types are fine  as long as the comparator knows how to handle them.  If you can't reuse the same comparator interface  I can always implement my comparisons in another place  but I already have two of them (one in the WritableComparable  and one in the Comparator).  I don't see how column families and the key comparator are related, except that they are both table-level metadata. Yes, I agree that a single comparator would be used for the entire table. ","Neutral"
"+1 looks good.","Positive"
"Sorry.","Negative"
"Didn't make 1.1","Neutral"
"I abbreviated the heck out of my arguments and thinking  but damn it thats what I think :)","Negative"
"Applied patch with thanks to William.","Positive"
"uploading the patch for commit to internal branch  it has review comments from sreekanth and cos implemented. ","Neutral"
"Thanks  Omkar!  I committed this to branch-0.23 as well.","Positive"
"Created an attachment (id=356) XML parsing tool. ","Neutral"
"Sorry about that.","Negative"
"Carl - Sorry I missed that though I did see it on the logs 2x  the other being this one. Fixed in this patch.","Negative"
"Colin  the approach and your patch looks good to me.  What's the latest on testing?  Eg you verified a v1 install with hsync files correctly upgraded (eg leases recovered) to v2 or trunk build with this patch?  Nicholas, do you have cycles to take a look? I spent a while paging in the relevant code and the patch/testing look good to me but would be good to have another set of eyes. The patch itself is straight-forward so mostly around subtleties. ","Neutral"
"Mike: patch reads nice and clean to me (didn't try applying though)  two nits:  1) it would be good to have a test of the case where a boolean with the default boost is specified in one bq, and a seperate blank bq is specified to force the first BQ to be treated as a single query  2) let's assign  params.getParams(DMP.BQ) to a temp variable so we don't have to call it twice in three lines.","Neutral"
"Sorry  my code base is a little old  looks like HADOOP-9147 add some new test in TestFileStatus. ","Negative"
"I'm sorry Mark   I came back here to remove my comment as after building the app from scratch I have found that by default it used WhenExhaustedAction = GROW and not BLOCK!","Negative"
"Thanks for the reviews  guys!","Positive"
"I just committed this.  Thanks  Sanjay!","Positive"
"Thanks Lukas for pointing these issues out. Will review your fixes and do the necessary changes. The JMS transport fix should go to Axis2 Transports project.","Positive"
"+1  Looks good to me.","Positive"
"Patch looks good to me.","Positive"
"This is where it gets confusing.","Negative"
"From step 3  do you think the double-splitting is a new phenomenon?  It doesn't sound like something that should happen very often.  Maybe that would explain why i didn't get this error in .94.0.  Also, please note I went straight from .94.0 to .94.2, so I don't know if it was present in .94.1.","Neutral"
"Committed  rev:088067c. Thanks Roman!","Positive"
"+1  looks good. Will check this in once Jenkins gives its blessings.","Positive"
"Hi Sagara   Thank you very much for looking into this.","Positive"
"Thank you  guys!","Positive"
"Thanks Wei. I've committed your latest patch to SVN.","Positive"
"If they do then Suse's cpio works for old ascii but the -c switch is broken.","Negative"
"Thanks Scott. git formatted patches are fine in my opinion: lets get this fixed","Positive"
"Attaching a patch that adds javadoc in the FileSystem class.","Neutral"
"Applied to trunk. Thanks Andrey","Positive"
"Tried some more stuff and realized I was doing it wrong.","Negative"
"sorry for misleading attachment name.","Negative"
"Sorry  forgot to mention it in issue description. I use commons-net-2.0.jar  i.e. version 2.0.  It's because Scott Bjerstedt wrote in VFS-264 that for his patch to work we need to use commons-net 2.0.","Negative"
"Thanks  Sanjay!","Positive"
"897392 Thanks Sharan ! ","Positive"
"LGTM  +1  (and I think I'm sufficiently convinced that it's OK for 0.7.1 as well).  I think tjake was planning to commit this, so I'll leave it here for the time being, until he has a chance to look it over.  Thanks Stephen.","Positive"
"Hi Hairong  the speedups you measured with this patch are very impressive.  It would be great to have it included in the system.  The patch still applied successfully to current trunk when I tried it.  So can you please go ahead and ""submit patch"" so we see how it does with test-patch?  And I'll review it, and try to get someone else to also.  Thanks!","Positive"
"Thanks Ashish  For committing the patch.","Positive"
"Committed revision 1480515. Committed revision 1480517. ","Neutral"
"That's my bad.","Negative"
"closing since 4.1.0 is now released","Neutral"
"I will try to do more research on it.","Negative"
"Wow!","Positive"
"Sorry ;-) +1 ","Negative"
"Sorry again!","Negative"
"Did you clean everything out?","Neutral"
"though I disagree with a signficant amount of statements you made I don't think we would ever come to agreement anyway.","Negative"
"Fixed in svn revision 533916.  thanks, dims","Positive"
"Ok I'll add these.","Neutral"
"Stroooong ++++++1  I wanted to do that long time, but some tests were made me afraid.","Negative"
"I think the correct resolution is to ensure that the prefix stack mechanism gets reset each time the XMLReader is used.","Negative"
"Looks very good. +1","Positive"
"I think its a good idea to go ahead and put a patch together so we can discuss it directly.","Positive"
"+1 thanks. Don't forget to add line to CHANGES.txt when committing","Positive"
"hi Dan!!","Positive"
"Thanks Sian.  Patch applied in SECURITY modulke and third party notices file at repo revision r543463.  Please check it was applied as you expected. ","Neutral"
"This sucks.","Negative"
"I committed this.  Thanks  Miki!","Positive"
"On 2008/Apr/08 04:09 pm Brian Minchau wrote: > > Hi Helge. > > I'm afraid you can't assign someone to review.  However I will have a look > at your patch.  Any progress in reviewing my patch?  -- Helge Schulz - http://OpenSHORE.org","Neutral"
"Patch committed  rev: 84f4fa61b6607d8699bb28743b568f4a716b4288. Thanks Mike!","Positive"
"Local test passed. Submit to hudson.","Neutral"
"Committed by Ted today.","Neutral"
"Line 1664 (sorry  the 0.94 codeline)","Negative"
"My Bad.","Negative"
"Thank you  Ashish Vijaywargiya and Pranay Pandey :)   Thanks and Regards -- Akash Jain","Positive"
"I too am concerned about the  DRDA 255 byte character string limit.","Negative"
"Committed. Thanks Namit.","Positive"
"Resolved in trunk.  There were two places where the ack message was getting the Destination from the Message assigned to it instead of the Destination from the MessageDispatch command.","Neutral"
" The samples you gave are different.","Negative"
"@Luke  Sorry for the late  attaching latest version patch","Negative"
"+1 This patch looks good. Let's remove from 0.4  and work on a better implementation on 0.5","Positive"
"bq. OK w/ the latest patch all tests pass for me! Great Awesome! :)","Positive"
"Carl Lindberg  absolutely you are right. I was not far-sighted enough to think of that. Thank you about your point.^^ My one is not a good idea. I will try to fix it. (T.T). Thanks again. ","Positive"
"First guess: something's getting confused about reversed-ness.","Negative"
"Damn maven!","Negative"
"Committed  thanks!","Positive"
"Committed. Thanks Gang Tim Liu","Positive"
"We reported this crash to Oracle in plenty of time  and the *worse* wrong-results bug has been open since May 13: http://bugs.sun.com/bugdatabase/view_bug.do?bug_id=7044738  but Oracle decided not to fix that  too. ","Negative"
"I don't think there is any sense in this  who cares?  We reported this crash to Oracle in plenty of time, and the *worse* wrong-results bug has been open since May 13: http://bugs.sun.com/bugdatabase/view_bug.do?bug_id=7044738, but Oracle decided not to fix that, too. ","Neutral"
"Attaching a new patch that compiles without errors against JDK1.4.2.  It also accounts for the customizable port part (DERBY-4217), which the previous patch didn't.","Neutral"
"bq. Can we just make it final when we backport this change?  Duh no we can't since we have core IR impls subclassing IR...","Neutral"
"Looks good.  Minor nit  can you change info.wait(0); back to info.wait();  otherwise +1.","Positive"
"I just committed this. Thanks  Boris!","Positive"
